id,time,video_end_time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
1.0,1685917821.0,1685917819,30,295.963,57.734,11.048,7.104,-1323.24,-1153.31
2.0,1685917821.0,1685917819,30,313.091,58.687,9.877,7.575,-1326.06,-1156.32
3.0,1685917821.0,1685917819,30,303.555,69.957,11.003,9.804,-1340.41,-1146.34
4.0,1685917821.0,1685917819,30,286.626,100.404,17.062,14.318,-1363.42,-1131.73
5.0,1685917821.0,1685917819,30,260.469,144.464,25.213,22.056,-1379.49,-1121.35
1.0,1685917822.27,1685917819,49,309.364,45.987,6.676,5.893,-1300.01,-1169.41
2.0,1685917822.27,1685917819,49,320.49,49.026,8.755,6.441,-1308.47,-1168.31
4.0,1685917822.27,1685917819,49,302.584,71.82,11.272,9.736,-1342.38,-1145.1
5.0,1685917822.27,1685917819,49,290.239,90.396,13.796,10.513,-1357.49,-1135.16
7.0,1685917822.27,1685917819,49,173.633,76.576,18.741,14.483,-1340.33,-1119.66
2.0,1685917822.8,1685917819,57,322.653,45.642,7.694,5.912,-1300.51,-1173.58
5.0,1685917822.8,1685917819,57,296.858,78.398,12.273,9.652,-1348.48,-1140.81
7.0,1685917822.8,1685917819,57,137.103,92.233,23.798,17.107,-1352.41,-1111.64
11.0,1685917822.8,1685917819,57,187.652,70.486,15.585,10.842,-1334.17,-1123.71
1.0,1685917822.0,1685917819,45,307.409,47.815,7.429,6.218,-1304.38,-1166.42
2.0,1685917822.0,1685917819,45,318.933,50.492,8.581,6.403,-1311.53,-1166.08
4.0,1685917822.0,1685917819,45,299.443,76.644,12.547,9.519,-1347.01,-1142.07
5.0,1685917822.0,1685917819,45,286.155,97.997,15.64,11.864,-1362.06,-1132.31
7.0,1685917822.0,1685917819,45,187.677,70.937,16.791,12.54,-1334.73,-1123.59
1.0,1685917820.93,1685917819,29,294.688,58.753,11.794,6.848,-1324.81,-1152.19
2.0,1685917820.93,1685917819,29,312.804,59.306,9.767,8.053,-1327.01,-1155.72
3.0,1685917820.93,1685917819,29,302.938,71.132,11.665,10.1,-1341.67,-1145.55
