id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm,speed
22,5.33,80.0,287.89,67.249,10.945,8.898,298663.43044258206,4768854.637003683,26.533521771847646
22,5.4,81.0,288.975,65.849,11.034,8.78,298665.1345005667,4768853.600106869,28.49883635688716
22,5.47,82.0,290.173,64.737,10.86,8.449,298666.55617811065,4768852.73503483,23.816475169605265
22,5.53,83.0,291.286,63.877,11.09,8.01,298667.695165535,4768852.041976001,22.301594363121925
22,5.6,84.0,291.807,63.145,10.921,7.183,298668.67680100293,4768851.444663763,16.415522772196553
22,5.67,85.0,292.223,62.371,11.362,6.649,298669.7257010714,4768850.806421902,17.542950209930147
22,5.73,86.0,292.523,61.629,12.364,6.305,298670.75398119696,4768850.180727005,20.073476141137192
22,5.8,87.0,292.96,60.521,13.308,6.774,298672.3403436572,4768849.215446366,26.54414882393056
22,5.87,88.0,293.627,59.742,13.104,6.454,298673.5082130226,4768848.504813257,19.535942798381384
22,6.07,91.0,298.873,56.218,9.842,7.205,298679.28435614245,4768844.990106334,33.98028840534073
22,6.13,92.0,300.219,55.09,9.043,6.964,298681.2777477384,4768843.777153833,38.982189662284526
22,6.2,93.0,301.068,54.36,8.968,6.56,298682.60710006,4768842.9682604745,22.271515620308683
22,6.27,94.0,302.141,53.337,9.474,6.926,298684.5211787913,4768841.803568806,32.05670995742857
22,6.33,95.0,302.787,52.29,9.421,7.797,298686.5459998752,4768840.571491876,39.503867604709434
22,6.4,96.0,303.841,51.583,9.177,7.705,298687.97972568363,4768839.699088627,24.08573123047518
22,6.47,97.0,304.949,51.115,8.73,7.606,298688.9771956811,4768839.0921412865,16.989792851722445
22,6.53,98.0,305.562,50.573,8.133,7.114,298690.11745687854,4768838.398307383,22.283526549505492
22,6.6,99.0,306.305,50.02,8.424,6.81,298691.3179944513,4768837.6677961005,20.144883384183693
22,6.67,100.0,307.065,49.279,8.693,6.72,298692.95065683575,4768836.674342568,27.34063283992239
22,6.73,101.0,307.526,48.731,8.426,6.596,298694.18451702903,4768835.92355491,24.084342540040033
22,6.8,102.0,308.088,48.438,7.954,6.546,298694.87075969885,4768835.505985295,11.57936235756239
22,6.87,103.0,308.799,47.856,8.013,6.621,298696.2397684534,4768834.67296152,22.950701386160226
22,6.93,104.0,309.484,46.963,7.854,6.64,298698.39085673954,4768833.364052663,41.978830638387414
22,7.0,105.0,310.146,46.531,8.008,6.261,298699.4698774688,4768832.707482777,18.143419568136245
22,7.07,106.0,310.687,46.236,7.98,6.089,298700.22940887144,4768832.245317934,12.80624847133853
22,7.13,107.0,311.286,46.052,7.832,5.972,298700.71513151255,4768831.9497621115,9.782353726032774
22,7.2,108.0,311.859,45.875,7.69,5.755,298701.18911556934,4768831.661349063,8.182859139824343
24,4.13,62.0,283.739,69.58,11.137,10.154,298660.2989078171,4768855.768428826,
24,4.2,63.0,284.759,68.765,10.903,10.22,298661.23262485396,4768855.20027432,15.660296872025075
24,4.27,64.0,285.957,67.705,11.125,9.278,298662.47694985813,4768854.443118963,20.84392927138602
24,4.33,65.0,287.023,66.149,11.083,9.766,298664.34789557126,4768853.304673168,36.501522043385364
24,4.4,66.0,288.567,65.1,10.789,9.226,298665.69373683643,4768852.485746505,22.629220769687358
24,4.47,67.0,289.711,64.291,11.657,8.887,298666.75657830184,4768851.839021487,17.85714285714301
24,4.53,68.0,290.424,63.667,11.791,8.08,298667.5890887574,4768851.332449853,16.275407483569275
24,4.6,69.0,291.22,62.985,11.49,7.164,298668.51392443577,4768850.769699538,15.495226389107298
24,4.67,70.0,291.779,62.16,11.19,6.475,298669.6494352745,4768850.078756166,18.989255825072693
24,4.73,71.0,292.126,61.169,11.29,6.56,298671.0394087052,4768849.232975662,27.14825552195236
24,4.8,72.0,292.436,59.987,12.201,6.431,298672.7530024615,4768848.190276456,28.69757865137418
24,4.87,73.0,292.543,59.417,12.855,6.072,298673.5994893682,4768847.675200336,14.185361813876828
24,4.93,74.0,293.118,58.626,13.785,6.095,298674.8228847502,4768846.930780377,23.868272758307562
24,5.0,75.0,293.988,57.806,14.328,6.588,298676.13891503424,4768846.129993304,22.029664596265143
24,5.07,76.0,294.602,57.284,15.857,7.241,298677.00220056425,4768845.604695442,14.465299788885865
24,5.2,78.0,298.78,54.99,9.985,6.346,298681.04192717234,4768843.146575069,36.70133738284854
24,5.27,79.0,299.977,54.182,8.227,6.056,298682.5299052238,4768842.241160045,24.999999998004522
24,5.33,80.0,301.156,53.557,7.798,6.009,298683.72503802425,4768841.513937496,23.559027526184995
24,5.4,81.0,302.023,52.534,7.714,6.272,298685.69591654476,4768840.314683905,32.96906404002552
24,5.47,82.0,302.623,52.034,7.163,5.998,298686.69118372956,4768839.709076947,16.689847822253068
24,5.53,83.0,303.472,51.228,6.988,5.966,298688.3384419246,4768838.706742056,32.17314269907591
24,5.6,84.0,304.348,50.445,6.939,6.268,298689.98728357285,4768837.703443655,27.620238074425234
24,5.67,85.0,304.932,50.094,7.022,5.763,298690.7496722017,4768837.239540227,12.83013035184552
24,5.73,86.0,305.504,49.656,7.211,5.627,298691.7141643125,4768836.652659495,18.87090647497261
24,5.8,87.0,306.345,49.28,7.342,5.304,298692.5736285229,4768836.129686857,14.581229195961084
24,5.87,88.0,307.267,48.586,7.02,5.422,298694.152348344,4768835.169056663,26.488734608474395
24,5.93,89.0,307.967,48.002,6.831,5.869,298695.516916419,4768834.338734983,26.67968432189162
24,6.0,90.0,308.42,47.676,6.937,5.623,298696.29675808473,4768833.864211612,13.08683713231908
24,6.07,91.0,308.963,46.86,6.711,5.376,298698.2733510574,4768832.661480852,33.05684651950998
24,6.13,92.0,309.531,46.129,7.069,5.565,298700.1020927915,4768831.548715621,35.690023506046934
24,6.2,93.0,310.0,45.98,7.117,5.258,298700.4939067571,4768831.310301989,6.768775850338669
24,6.27,94.0,310.526,45.486,7.609,5.335,298701.77630474133,4768830.529979726,21.476612818327407
24,6.33,95.0,310.987,45.239,7.402,5.327,298702.4346295631,4768830.129397753,12.936812241708957
24,6.4,96.0,311.704,45.103,7.465,5.663,298702.8238959826,4768829.89253427,7.058068191498466
24,6.47,97.0,312.632,44.27,7.345,5.945,298705.0971204722,4768828.509307143,38.082884898255045
24,6.53,98.0,312.959,43.498,7.276,6.972,298707.2507563053,4768827.198848137,42.01719225450196
24,6.6,99.0,313.536,42.658,7.072,6.201,298709.69341606996,4768825.712521879,40.85739260730858
24,6.67,100.0,314.038,42.197,6.662,5.707,298711.0871757662,4768824.864437482,23.33824049381066
24,6.73,101.0,314.785,41.856,7.043,5.948,298712.1547675904,4768824.214821935,21.062077554496984
24,6.8,102.0,315.33,41.823,6.987,5.764,298712.2743562473,4768824.142053815,3.1719433265306147
31,4.47,67.0,101.623,107.178,30.157,20.712,298639.38325310795,4768893.941780436,
31,4.53,68.0,94.812,110.144,31.259,21.733,298637.9882196387,4768894.790639906,27.22845733271639
31,4.6,69.0,86.181,113.86,32.867,22.939,298636.33080631215,4768895.799154061,27.73526452165681
31,4.67,70.0,77.187,118.269,33.698,23.125,298634.5451975962,4768896.885673419,29.87490927511654
31,4.73,71.0,67.956,122.383,35.334,23.911,298632.96709713456,4768897.845926741,30.793668182288727
31,4.8,72.0,58.232,126.721,37.12,25.423,298631.41247384204,4768898.791894515,26.00039245947764
31,4.87,73.0,48.041,131.42,39.293,26.277,298629.8565767765,4768899.738637363,26.018831480970576
31,4.93,74.0,37.118,136.24,41.785,27.881,298628.36192017916,4768900.648116194,29.170952068238716
31,5.0,75.0,25.194,141.532,43.629,29.401,298626.84092918684,4768901.573619156,25.441409279123015
31,5.07,76.0,16.725,147.034,37.899,30.747,298625.4772550973,4768902.403396858,23.313305301408196
31,5.13,77.0,9.939,151.754,27.031,29.439,298624.39627112774,4768903.0611613495,21.774730511886972
34,4.73,71.0,240.473,93.044,17.094,12.049,298642.22995805787,4768872.055352159,
34,4.8,72.0,243.054,90.524,16.485,12.082,298643.8518459512,4768871.068454762,27.12217257126007
34,4.87,73.0,246.453,87.586,16.071,11.797,298645.86967880954,4768869.840630075,33.759352445738244
34,4.93,74.0,249.671,85.027,15.178,11.175,298647.74854178744,4768868.697366728,36.70452591143606
34,5.0,75.0,252.451,82.78,14.319,10.449,298649.4954231101,4768867.634412478,29.240732002043487
34,5.07,76.0,255.245,80.404,13.76,9.773,298651.4371100094,4768866.452921603,32.49018690183249
34,5.13,77.0,257.538,78.389,12.882,9.58,298653.17796720023,4768865.393632958,33.97793401858591
34,5.2,78.0,259.841,76.298,12.767,9.443,298655.0784142139,4768864.23723601,31.78531299514329
34,5.27,79.0,262.015,74.464,12.365,9.145,298656.83989134757,4768863.165400401,29.478459799238887
34,5.33,80.0,264.327,72.948,12.161,8.589,298658.38053818897,4768862.2279371135,30.168508224342087
34,5.4,81.0,266.438,71.306,11.712,8.831,298660.1055257962,4768861.1783049,28.88577081207882
34,5.47,82.0,267.942,69.622,11.758,8.898,298661.9368150764,4768860.063989521,30.624786543397914
34,5.53,83.0,270.07,68.243,11.043,7.989,298663.54345274565,4768859.086371684,31.467796591237104
34,5.6,84.0,271.738,66.985,10.306,7.788,298665.045716928,4768858.172263739,25.162735648435035
34,5.67,85.0,273.439,65.355,10.278,7.897,298667.0692642384,4768856.940961883,33.845085251578695
34,5.73,86.0,274.946,64.351,9.924,7.762,298668.38846142887,4768856.138247788,25.806975804862777
