id,time,frame_num,class,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
3853,570.4,2852,1,1284.06,756.262,86.511,82.311,305725.33,4770994.0
3856,570.4,2852,2,1335.517,502.161,136.411,47.067,305749.86,4770993.94
3858,570.4,2852,1,1450.66,894.101,158.912,108.895,305722.67,4770992.0
3851,570.4,2852,0,897.757,609.636,26.314,72.856,305729.65,4771003.91
3863,570.4,2852,2,1762.694,513.618,147.089,41.403,305750.97,4770980.22
3854,570.4,2852,0,926.029,601.573,25.131,69.367,305730.57,4771003.55
3876,570.4,2852,2,295.812,686.7,137.844,97.203,305719.93,4771013.6
3877,570.4,2852,0,1445.528,839.179,151.958,117.924,305723.86,4770991.96
3879,570.4,2852,0,918.42,546.613,19.03,44.388,305736.46,4771007.22
8,45.8,229,2,556.552,558.761,137.966,32.379,305730.31,4771019.37
7,45.8,229,2,402.315,537.377,111.121,46.507,305730.59,4771030.68
78,45.8,229,2,1259.428,496.323,118.979,46.092,305750.67,4770997.11
136,45.8,229,2,1510.105,524.421,158.331,54.278,305746.49,4770988.23
88,45.8,229,0,935.666,646.687,29.977,29.777,305727.55,4771001.58
432,45.8,229,2,674.648,423.437,23.552,12.703,305802.42,4771092.03
434,45.8,229,2,8.278,771.393,19.756,44.196,305715.81,4771013.85
433,45.8,229,2,669.356,449.214,35.207,22.739,305766.0,4771052.92
422,45.8,229,2,603.621,442.952,38.006,28.048,305771.23,4771069.43
3876,645.6,3228,2,679.983,570.01,140.884,60.966,305730.72,4771013.32
3853,645.6,3228,1,917.733,581.127,38.028,38.703,305732.33,4771004.84
3875,645.6,3228,0,809.219,602.386,34.411,70.403,305729.3,4771006.65
3893,645.6,3228,1,967.659,598.673,45.662,42.018,305731.23,4771002.58
3918,645.6,3228,0,966.835,574.254,27.526,55.256,305733.57,4771003.78
3849,645.6,3228,0,911.808,560.116,34.503,61.878,305734.59,4771006.39
4015,645.6,3228,2,572.354,559.273,139.804,56.518,305730.47,4771018.67
4447,645.6,3228,2,701.714,466.149,48.254,29.065,305755.17,4771037.4
4463,645.6,3228,2,755.868,462.943,49.085,24.751,305757.7,4771034.21
4542,645.6,3228,2,666.246,460.673,32.453,19.755,305757.73,4771044.13
4600,645.6,3228,2,640.308,454.158,31.171,21.478,305761.71,4771052.01
4666,645.6,3228,2,634.124,501.924,101.098,41.838,305740.98,4771027.94
4682,645.6,3228,2,1297.764,494.241,122.055,51.083,305751.67,4770995.56
4699,645.6,3228,2,1570.191,525.345,123.356,57.769,305746.86,4770986.46
4710,645.6,3228,2,1850.97,534.195,107.842,53.01,305747.56,4770979.32
2299,373.2,1866,2,873.153,744.823,355.519,173.869,305722.95,4771000.27
2321,373.2,1866,2,566.133,599.871,161.221,74.847,305726.8,4771013.89
2348,373.2,1866,2,1298.861,495.379,119.48,46.595,305751.35,4770995.49
2372,373.2,1866,2,278.308,867.849,421.008,147.831,305716.67,4771005.79
2378,373.2,1866,2,1714.456,541.03,160.65,57.519,305745.26,4770983.17
2440,373.2,1866,2,1035.802,504.427,97.04,50.44,305745.95,4771006.35
2471,373.2,1866,2,776.569,485.35,55.889,30.536,305748.11,4771023.93
2488,373.2,1866,2,718.946,455.98,41.372,26.443,305761.51,4771041.85
2491,373.2,1866,2,647.67,454.374,44.063,25.15,305761.66,4771050.96
2498,373.2,1866,2,608.168,449.649,27.799,19.455,305764.84,4771060.5
2419,373.2,1866,2,1349.397,593.038,174.2,95.32,305735.34,4770993.21
3145,473.0,2365,2,980.976,473.245,83.379,33.065,305755.57,4771013.79
3241,473.0,2365,2,1218.561,483.092,117.102,44.197,305754.43,4770999.5
3258,473.0,2365,2,1381.027,505.859,131.027,44.993,305749.38,4770992.23
3295,473.0,2365,2,1070.527,536.928,116.172,68.003,305739.71,4771002.5
3290,473.0,2365,2,940.237,432.813,49.469,20.29,305784.65,4771032.52
3293,473.0,2365,2,687.656,428.45,23.946,11.735,305791.88,4771077.87
3311,473.0,2365,2,996.382,447.913,64.274,25.412,305770.29,4771019.41
3313,473.0,2365,2,760.704,482.229,54.617,28.91,305748.99,4771025.96
3315,473.0,2365,2,686.604,464.467,39.705,26.143,305755.84,4771039.74
3317,473.0,2365,2,1321.317,465.355,81.96,29.86,305762.66,4770995.03
3318,473.0,2365,2,1867.321,547.716,69.538,59.291,305745.41,4770979.8
3320,473.0,2365,2,866.129,476.642,69.78,39.943,305752.66,4771020.48
3323,473.0,2365,2,644.64,456.966,30.409,18.403,305759.79,4771049.17
3332,473.0,2365,2,747.485,457.686,50.666,26.166,305760.76,4771037.88
3335,473.0,2365,2,50.291,907.116,76.302,95.705,305714.96,4771007.57
3338,473.0,2365,2,1092.294,446.219,48.913,22.344,305772.28,4771011.89
3288,473.0,2365,2,1239.108,534.585,155.069,79.355,305741.94,4770996.85
4682,692.2,3461,2,1034.037,472.026,88.566,38.747,305756.73,4771010.71
4699,692.2,3461,2,1173.189,484.094,101.498,41.15,305753.59,4771001.64
4748,692.2,3461,2,659.272,424.418,23.023,12.535,305800.42,4771093.39
4901,692.2,3461,2,736.823,429.756,32.834,15.071,305789.35,4771066.05
4911,692.2,3461,2,1125.756,550.224,132.842,76.131,305738.27,4771000.02
4912,692.2,3461,2,793.567,488.92,64.372,40.754,305747.16,4771021.84
4914,692.2,3461,2,1750.067,536.472,185.615,72.96,305746.34,4770982.01
4923,692.2,3461,2,860.25,478.732,60.333,31.71,305751.75,4771020.3
4929,692.2,3461,2,766.545,772.068,315.588,147.181,305721.46,4771001.35
4938,692.2,3461,2,671.309,463.389,36.646,23.405,305756.21,4771041.85
